name	media type	episode count	dates aired	rating
Lord El-Melloi II-sei no Jikenbo	Manga	NULL	NULL	7.67
Fate/Requiem	Novel	NULL	NULL	1
Fate/Apocrypha	Novel	NULL	NULL	7.76
Fate/Apocrypha: Unbirth	Novel	NULL	NULL	7.09
Fate/Apocrypha	Manga	NULL	NULL	7.53
Emiya-san Chi no Kyou no Gohan	Manga	NULL	NULL	7.65
Sensha Otoko: A True Tank Story	One-shot	NULL	NULL	6.98
Fate/mahjong night Seihai Sensou	Manga	NULL	NULL	6.63
Fate/stay night: Comic Anthology	Manga	NULL	NULL	7.67
Fate/stay night: Comic Battle	Manga	NULL	NULL	7.25
Mahou Tsukai no Hako: Starlit Marmalade	Manga	NULL	NULL	1
Kara no Kyoukai: The Garden of Sinners	Manga	NULL	NULL	7.87
Fate/Grand Order: Zettai Majuu Sensen Babylonia	TV	Unknown	Oct, 2019 to ?	N/A
