name	media type	episode count	dates aired	rating	url
Dragon Ball Movie 1: Shen Long no Densetsu	Movie	1	1986-12-20 00:00:00	6.97	https://myanimelist.net/anime/502/Dragon_Ball_Movie_1__Shen_Long_no_Densetsu
Dragon Ball Movie 2: Majinjou no Nemurihime	Movie	1	1987-07-18 00:00:00	6.93	https://myanimelist.net/anime/891/Dragon_Ball_Movie_2__Majinjou_no_Nemurihime
Devilman: Tanjou-hen	OVA	1	1987-11-01 00:00:00	7.19	https://myanimelist.net/anime/2354/Devilman__Tanjou-hen
Lupin III: Fuuma Ichizoku no Inbou	Movie	1	1987-12-26 00:00:00	7.33	https://myanimelist.net/anime/1432/Lupin_III__Fuuma_Ichizoku_no_Inbou
Tatakae!! Ramenman	TV	35	1988-01-10 00:00:00	6.59	https://myanimelist.net/anime/4427/Tatakae_Ramenman
Dragon Ball Specials	Special	2	1988-06-08 00:00:00	6.87	https://myanimelist.net/anime/2520/Dragon_Ball_Specials
Tatakae!! Ramenman (Movie)	Movie	1	1988-07-09 00:00:00	6.00	https://myanimelist.net/anime/16728/Tatakae_Ramenman_Movie
Dragon Ball Movie 3: Makafushigi Daibouken	Movie	1	1988-07-09 00:00:00	7.01	https://myanimelist.net/anime/892/Dragon_Ball_Movie_3__Makafushigi_Daibouken
Violence Jack: Jigoku Gai-hen	OVA	1	1988-12-06 00:00:00	5.65	https://myanimelist.net/anime/1342/Violence_Jack__Jigoku_Gai-hen
Lupin III: Bye Bye Liberty - Kiki Ippatsu!	Special	1	1989-04-01 00:00:00	6.92	https://myanimelist.net/anime/1415/Lupin_III__Bye_Bye_Liberty_-_Kiki_Ippatsu
Dragon Ball Z	TV	291	1989-04-26 00:00:00	8.29	https://myanimelist.net/anime/813/Dragon_Ball_Z
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!	Movie	1	1989-07-15 00:00:00	6.84	https://myanimelist.net/anime/894/Dragon_Ball_Z_Movie_01__Ora_no_Gohan_wo_Kaese
Majo no Takkyuubin	Movie	1	1989-07-29 00:00:00	8.29	https://myanimelist.net/anime/512/Majo_no_Takkyuubin
Devilman: Yochou Sirene-hen	OVA	1	1990-02-25 00:00:00	7.07	https://myanimelist.net/anime/2355/Devilman__Yochou_Sirene-hen
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu	Movie	1	1990-03-10 00:00:00	6.79	https://myanimelist.net/anime/895/Dragon_Ball_Z_Movie_02__Kono_Yo_de_Ichiban_Tsuyoi_Yatsu
Pink Mizu Dorobou Ame Dorobou	Movie	1	1990-07-07 00:00:00	5.54	https://myanimelist.net/anime/11659/Pink_Mizu_Dorobou_Ame_Dorobou
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen	Movie	1	1990-07-07 00:00:00	6.89	https://myanimelist.net/anime/896/Dragon_Ball_Z_Movie_03__Chikyuu_Marugoto_Choukessen
Kennosuke-sama	OVA	1	1990-07-07 00:00:00	5.45	https://myanimelist.net/anime/18603/Kennosuke-sama
Lupin III: Hemingway Paper no Nazo	Special	1	1990-07-20 00:00:00	7.00	https://myanimelist.net/anime/1421/Lupin_III__Hemingway_Paper_no_Nazo
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen	Special	1	1990-10-17 00:00:00	7.68	https://myanimelist.net/anime/986/Dragon_Ball_Z_Special_1__Tatta_Hitori_no_Saishuu_Kessen
Violence Jack: Hell's Wind-hen	OVA	1	1990-11-09 00:00:00	5.56	https://myanimelist.net/anime/1343/Violence_Jack__Hells_Wind-hen
Getter Robo Go	TV	50	1991-02-11 00:00:00	6.34	https://myanimelist.net/anime/5292/Getter_Robo_Go
CB Chara Go Nagai World	OVA	3	1991-02-21 00:00:00	6.97	https://myanimelist.net/anime/2692/CB_Chara_Go_Nagai_World
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu	Movie	1	1991-03-19 00:00:00	6.75	https://myanimelist.net/anime/897/Dragon_Ball_Z_Movie_04__Super_Saiyajin_da_Son_Gokuu
Abashiri Ikka	OVA	4	1991-05-21 00:00:00	5.51	https://myanimelist.net/anime/305/Abashiri_Ikka
Akai Hayate	OVA	4	1991-05-21 00:00:00	5.58	https://myanimelist.net/anime/4923/Akai_Hayate
Yumemakura Baku Twilight Gekijou	OVA	4	1991-05-21 00:00:00	5.59	https://myanimelist.net/anime/12769/Yumemakura_Baku_Twilight_Gekijou
Eguchi Hisashi no Kotobuki Gorou Show	OVA	4	1991-05-21 00:00:00	5.40	https://myanimelist.net/anime/20385/Eguchi_Hisashi_no_Kotobuki_Gorou_Show
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou	Movie	1	1991-07-20 00:00:00	7.18	https://myanimelist.net/anime/898/Dragon_Ball_Z_Movie_05__Tobikkiri_no_Saikyou_tai_Saikyou
Kekkou Kamen	OVA	4	1991-08-01 00:00:00	5.81	https://myanimelist.net/anime/2525/Kekkou_Kamen
Lupin III: Napoleon no Jisho wo Ubae	Special	1	1991-08-09 00:00:00	6.82	https://myanimelist.net/anime/1423/Lupin_III__Napoleon_no_Jisho_wo_Ubae
Kinnikuman: Kinnikusei Oui Soudatsu-hen	TV	46	1991-10-06 00:00:00	6.87	https://myanimelist.net/anime/3281/Kinnikuman__Kinnikusei_Oui_Soudatsu-hen
Kyuukyoku Choujin R	OVA	1	1991-10-24 00:00:00	6.55	https://myanimelist.net/anime/6796/Kyuukyoku_Choujin_R
Dr. Slump: Arale-chan '92 Oshougatsu Special	Special	3	1992-01-01 00:00:00	6.15	https://myanimelist.net/anime/28367/Dr_Slump__Arale-chan_92_Oshougatsu_Special
Dragon Ball Z: Atsumare! Gokuu World	OVA	1	1992-01-28 00:00:00	6.63	https://myanimelist.net/anime/6714/Dragon_Ball_Z__Atsumare_Gokuu_World
Uchuu no Kishi Tekkaman Blade	TV	49	1992-02-18 00:00:00	7.53	https://myanimelist.net/anime/1459/Uchuu_no_Kishi_Tekkaman_Blade
