name	media type	episode count	dates aired	rating
Dragon Ball Z: Atsumare! Gokuu World	OVA	1	1992-01-28 00:00:00	6.63
Uchuu no Kishi Tekkaman Blade	TV	49	1992-02-18 00:00:00	7.53
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi	Movie	1	1992-03-07 00:00:00	6.99
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin	Movie	1	1992-07-11 00:00:00	7.04
Lupin III: Russia yori Ai wo Komete	Special	1	1992-07-24 00:00:00	6.81
Ushio to Tora	OVA	10	1992-09-11 00:00:00	7.22
Tetsuwan Atom no Koutsuu Anzen	OVA	1	1993	6.44
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks	Special	1	1993-02-24 00:00:00	7.81
Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen	Movie	1	1993-03-06 00:00:00	7.50
Kenyuu Densetsu Yaiba	TV	52	1993-04-09 00:00:00	7.16
Ghost Sweeper GS Mikami	TV	45	1993-04-11 00:00:00	7.25
Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare	Movie	1	1993-06-03 00:00:00	6.30
Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete	Movie	1	1993-07-10 00:00:00	6.33
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu	Movie	1	1993-07-10 00:00:00	7.28
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku	OVA	2	1993-07-23 00:00:00	6.97
Lupin III: Lupin Ansatsu Shirei	Special	1	1993-07-23 00:00:00	7.02
Casshern: Robot Hunter	OVA	4	1993-08-21 00:00:00	6.45
Ushio to Tora: Comical Deformer Gekijou	OVA	1	1993-10-01 00:00:00	6.28
Time Bokan Oudou Fukko	OVA	2	1993-11-26 00:00:00	6.23
Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!	Special	1	1993-12-31 00:00:00	6.75
Go! Go! Ackman	OVA	1	1994	6.21
Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...	Movie	1	1994-03-12 00:00:00	6.24
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai	Movie	1	1994-03-12 00:00:00	6.99
Shin Cutey Honey	OVA	8	1994-04-21 00:00:00	6.69
Dr. Slump Movie 09: Arale-chan N-cha!! Wakuwaku Hot no Natsuyasumi	Movie	1	1994-07-09 00:00:00	6.36
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da	Movie	1	1994-07-09 00:00:00	6.12
Uchuu no Kishi Tekkaman Blade II	OVA	6	1994-07-21 00:00:00	6.37
Lupin III: Moeyo Zantetsuken!	Special	1	1994-07-29 00:00:00	7.15
GS Mikami: Gokuraku Daisakusen!!	Movie	1	1994-08-20 00:00:00	6.67
Gatchaman	OVA	3	1994-10-01 00:00:00	6.50
Uchuu no Kishi Tekkaman Blade OVA: Twin Blood	OVA	1	1994-11-17 00:00:00	7.08
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta	Movie	1	1995-03-04 00:00:00	7.67
Lupin III: Kutabare! Nostradamus	Movie	1	1995-04-22 00:00:00	7.43
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru	Movie	1	1995-07-15 00:00:00	7.48
Lupin III: Harimao no Zaihou wo Oe!!	Special	1	1995-08-04 00:00:00	7.07
